	44	75	23	48	21	47	18	90	17	29
	33	65	13	37	10	36	8	81	16	28
	23	54	3	27	0	26	9	70	6	38
	12	44	2	16	1	15	19	60	5	39
	22	33	11	6	10	14	18	50	4	49
	31	23	21	5	20	13	28	40	3	58
	30	12	22	4	10	24	27	41	2	57
	20	11	32	3	0	25	16	42	1	56
	10	21	43	2	0	34	6	51	11	46
	1	31	52	12	10	35	5	61	22	45
	2	42	51	13	20	36	4	62	32	55
	3	41	50	24	30	47	14	63	33	66
	4	40	60	25	21	48	15	64	34	67
	5	50	70	35	11	37	26	73	45	68
	6	60	71	46	2	28	36	72	55	69
	7	70	82	56	3	17	47	83	66	59
	8	71	92	57	13	18	48	84	67	58
	9	72	93	68	24	19	37	94	76	49
	18	63	83	77	25	29	38	95	86	39
	28	64	73	76	34	19	48	96	87	49
	27	74	84	75	35	9	47	97	88	59
	26	85	94	65	45	8	36	98	78	69
	16	86	93	54	46	17	35	89	79	58
	15	96	92	53	55	7	25	99	69	57
	14	97	91	44	54	6	24	98	58	47
	4	87	81	43	64	15	23	88	57	36
	5	77	80	52	63	14	22	78	47	27
	6	67	90	42	62	13	31	68	36	16
	7	66	91	51	61	23	32	57	27	26
	8	65	82	41	60	12	33	47	37	35
	18	54	71	30	50	11	34	56	38	45
	29	44	61	20	41	1	25	55	39	46
	19	33	51	10	30	0	24	66	49	36
	9	43	41	21	20	1	14	76	58	27
	8	53	30	22	10	2	4	75	48	28
	17	64	20	31	11	3	5	74	57	29
	28	73	10	42	2	4	15	84	56	39
	27	72	0	43	3	14	16	93	55	38
	36	62	1	33	4	25	6	92	54	48
	46	51	2	34	14	26	7	82	44	58
	56	41	3	45	25	27	8	71	53	49
	55	30	4	35	34	28	18	61	64	59
	66	20	5	46	24	37	29	50	65	69
	75	10	6	36	13	48	38	40	74	79
	85	0	7	27	23	49	39	30	73	89
	84	1	8	17	32	58	29	20	72	98
	73	2	9	28	22	59	19	10	71	88
	63	3	18	37	12	69	29	0	70	77
	62	4	28	47	11	68	38	1	60	76
	61	5	37	48	21	57	49	10	50	67
	51	6	36	58	31	56	39	20	40	66
	52	7	26	59	42	55	29	30	41	65
	43	8	15	69	32	54	19	21	50	64
	33	9	16	78	23	53	18	22	60	63
	44	8	6	77	24	52	17	12	70	62
	54	7	5	67	14	51	16	13	80	61
	45	6	4	66	25	41	15	3	81	50
	46	5	14	65	34	30	26	2	90	40
	47	15	25	55	44	20	35	1	91	41
	36	26	34	54	45	10	46	0	92	31
	27	35	33	53	44	11	56	1	93	21
	28	34	43	64	54	22	57	2	83	30
	38	33	53	74	65	32	58	12	82	40
	48	43	64	75	66	42	68	22	72	50
	58	53	74	76	56	52	69	31	73	60
	49	64	75	86	57	63	79	42	84	70
	39	74	85	87	58	72	89	43	94	80
	29	84	95	88	68	71	98	44	93	81
	19	83	96	97	69	82	99	34	92	90
	9	73	86	87	79	91	89	35	93	80
	18	63	76	77	78	90	88	46	94	70
	8	62	67	68	69	80	98	36	95	61
