	87	83	82	91	59	13	46	44	43	65
	76	72	71	90	49	3	35	34	32	55
	66	62	61	80	38	2	25	24	22	46
	55	51	50	70	28	1	14	13	11	35
	45	41	40	60	17	0	4	3	10	25
	34	30	50	61	7	1	5	2	20	14
	24	31	51	71	6	11	15	12	21	13
	23	42	52	81	16	22	26	3	10	4
	33	32	53	82	27	31	36	2	0	5
	43	42	64	92	37	41	47	1	10	6
	53	51	65	93	48	40	57	11	21	7
	64	62	55	84	58	50	67	22	31	8
	74	63	45	85	68	60	66	23	32	9
	75	64	44	86	67	70	76	33	42	18
	65	74	54	95	77	81	87	43	52	17
	55	73	53	96	78	82	97	32	63	16
	56	83	52	86	69	92	88	31	72	26
	46	93	51	85	79	82	78	41	71	27
	35	94	50	84	89	82	68	40	61	28
	25	95	60	74	99	71	57	30	62	29
	15	85	70	75	98	81	47	20	63	19
	14	74	80	66	97	91	36	10	64	9
	5	74	90	56	87	92	26	11	53	8
	6	64	91	46	76	93	15	22	43	7
	16	53	92	35	66	94	25	32	43	17
	27	53	82	34	67	84	24	23	33	18
	37	43	71	45	68	73	13	12	44	28
	38	42	61	54	78	63	3	2	53	29
	39	31	50	65	89	52	4	1	64	19
	49	21	40	55	88	42	14	0	74	9
	59	10	30	66	77	41	15	1	75	8
	58	20	21	67	87	31	16	11	76	7
	48	10	22	77	96	32	26	12	86	6
	47	11	23	87	95	33	36	13	85	5
	57	22	24	97	94	34	46	4	74	14
	67	32	25	98	93	35	45	3	64	15
	76	23	34	89	83	35	55	2	53	26
	66	24	44	99	84	45	65	1	43	27
	56	14	44	98	85	45	54	10	52	17
	47	4	43	88	86	44	64	0	51	18
	36	5	42	78	87	43	73	1	62	28
	26	15	41	68	88	42	72	11	52	37
	27	16	40	57	89	41	62	22	63	36
	17	15	50	68	79	30	71	32	53	46
	8	25	60	78	69	20	70	43	53	45
	9	34	61	77	58	10	80	33	54	44
	19	35	51	67	48	0	70	23	55	45
	29	26	42	56	37	1	61	12	65	46
	18	15	31	66	27	2	51	13	75	47
	17	6	30	76	36	11	42	3	74	48
	16	5	40	87	47	21	31	12	84	37
	15	14	41	88	57	30	22	23	73	27
	25	13	50	89	68	20	11	32	64	26
	24	23	60	99	78	10	12	43	53	35
	33	32	70	98	89	0	2	52	63	34
	43	42	81	97	79	1	3	62	72	44
	52	41	82	96	69	2	4	71	83	53
	63	40	82	95	59	11	5	61	92	64
	53	30	71	94	49	21	15	51	91	54
	44	31	61	84	38	10	6	42	92	45
	34	32	50	74	29	20	7	52	83	35
	25	22	40	85	39	21	8	43	73	26
	15	12	30	86	49	11	9	32	64	26
	6	3	20	87	58	1	19	22	53	36
	7	4	10	88	68	11	29	12	43	46
	8	5	0	89	78	2	28	3	32	55
	9	15	1	99	77	12	17	4	33	65
	19	14	2	98	67	13	16	5	24	66
	29	25	11	97	56	23	15	6	34	75
	28	26	21	96	47	32	16	7	44	65
	17	36	30	95	48	42	27	8	45	54
	18	37	40	94	57	41	28	9	35	64
	19	38	50	84	68	51	29	8	34	63
	9	37	60	85	78	62	39	7	33	72
	8	36	70	86	89	71	49	6	32	82
	7	35	80	87	99	81	48	5	23	91
	6	34	90	88	98	70	47	4	22	92
	15	33	91	77	97	61	36	13	31	93
	5	32	82	76	96	51	26	23	41	84
	4	31	71	75	95	50	15	22	40	74
	3	41	61	66	94	60	5	21	30	65
	2	42	62	67	84	70	4	10	20	55
	1	52	63	68	85	80	3	0	21	46
	11	53	73	78	86	81	2	10	22	35
	12	43	74	89	87	90	3	21	32	26
	13	44	84	79	88	91	4	22	33	15
	14	45	83	69	89	82	5	32	24	6
	15	46	72	58	79	71	4	43	25	16
	26	55	62	49	69	61	3	53	35	17
	27	56	51	38	58	50	2	52	45	18
	17	57	41	28	49	40	1	42	54	19
	18	47	31	37	38	30	0	32	64	29
	9	48	21	36	39	20	10	33	53	19
	8	47	11	36	49	30	10	24	43	29
	7	46	12	47	59	40	11	25	32	39
	6	45	23	57	69	50	12	14	31	38
	15	34	24	68	78	60	13	5	30	28
	16	44	33	68	89	70	14	4	40	27
	26	54	43	78	98	80	25	3	50	36
	35	64	42	89	97	81	15	2	51	37
	46	53	52	98	96	90	6	11	61	48
	55	63	62	97	95	80	7	22	50	58
	54	53	71	96	94	70	17	32	41	59
	45	43	82	95	84	61	18	42	31	49
	34	33	71	85	84	50	9	51	21	38
	24	23	61	74	73	40	19	52	10	28
	13	12	50	75	84	30	18	63	1	17
	14	3	40	86	85	20	18	73	0	16
	15	4	41	87	86	10	17	72	1	16
	5	14	31	88	87	11	8	62	1	27
	6	25	22	89	88	12	7	51	11	36
	15	34	32	79	77	23	16	41	22	47
	26	33	43	69	67	24	27	30	21	56
	36	44	52	58	66	13	37	40	10	57
	47	54	42	68	65	12	48	50	0	56
	46	64	41	78	55	11	57	60	1	66
	35	63	40	89	45	21	56	70	2	76
	25	72	50	99	34	30	66	81	3	75
	15	62	60	98	24	40	55	71	13	65
	14	52	70	97	25	50	45	61	23	54
	4	42	80	96	26	51	35	50	32	44
	5	31	90	95	36	41	46	40	22	34
	6	21	91	94	47	30	56	50	12	25
	7	10	82	84	57	20	67	60	11	15
	17	0	71	85	68	21	77	70	1	14
	16	10	72	86	78	11	87	81	2	13
	15	20	83	86	89	22	88	80	3	4
	26	30	84	87	79	32	98	70	12	5
	27	31	73	88	69	42	89	61	23	6
	28	41	63	97	59	42	78	51	32	7
	18	40	62	96	49	41	68	52	43	16
	8	50	61	95	38	30	57	53	33	15
	9	60	71	94	28	21	47	64	24	26
	18	70	82	93	37	10	36	74	34	27
	17	71	92	83	48	0	35	85	45	16
	7	82	91	84	58	1	46	86	55	6
	8	72	90	85	69	2	56	75	54	5
	9	63	81	86	79	11	66	65	53	14
	18	52	70	87	89	21	55	54	43	15
	17	42	61	88	99	30	45	44	32	25
	16	31	50	89	98	40	34	43	22	24
	15	21	51	78	97	41	33	32	11	13
	25	10	42	77	96	31	23	22	1	3
	24	0	32	76	95	21	13	12	2	4
	14	10	33	66	94	20	3	11	1	5
	15	21	24	55	93	30	2	22	0	6
	26	31	14	45	83	40	1	32	10	7
	27	41	13	46	84	50	11	43	21	8
	28	51	23	56	85	60	22	53	30	9
	29	62	32	67	86	70	12	64	40	19
	39	71	42	68	87	80	13	73	30	18
	49	82	41	78	88	90	14	74	31	17
	48	83	50	89	88	91	15	84	21	16
	47	72	60	79	98	82	25	73	10	6
	36	63	70	69	99	71	35	64	20	5
	37	52	81	59	89	61	46	53	30	4
	38	42	71	49	79	50	56	43	31	3
	28	32	61	58	69	40	57	43	31	2
	27	33	50	68	78	30	67	44	22	1
	26	34	40	77	88	20	76	54	12	11
	15	35	30	87	97	10	66	45	23	12
	5	26	20	96	98	0	55	46	33	13
	4	15	10	86	89	1	45	47	34	14
	3	16	11	87	99	2	35	48	24	25
	12	7	21	88	98	1	36	37	23	26
	22	6	31	78	97	10	27	38	32	16
	11	15	41	79	96	21	17	37	42	7
	2	14	40	69	95	30	8	36	51	6
	3	13	50	59	94	20	9	35	62	15
	4	24	51	69	85	10	18	34	72	5
	14	33	62	78	86	0	17	44	83	6
	24	43	72	89	87	1	16	53	93	7
	33	52	83	99	88	2	26	63	84	8
	43	42	92	98	89	3	35	53	74	9
	32	51	82	97	79	12	46	64	74	19
	23	41	71	96	69	22	36	53	64	18
	13	30	61	95	58	31	26	43	53	17
	14	40	50	94	48	41	15	32	43	16
	25	30	60	84	37	42	5	23	44	27
	34	21	70	73	28	32	4	12	54	36
	45	10	80	74	38	33	3	22	65	47
	54	11	81	75	49	34	2	31	66	56
	55	22	90	76	59	45	1	21	67	57
	56	32	91	77	69	44	0	20	68	58
	47	33	82	78	79	43	10	30	57	48
	46	24	71	89	79	42	11	31	67	37
	35	13	61	88	69	41	12	32	66	27
	26	14	50	87	59	40	13	23	65	16
	15	5	51	86	49	30	14	22	64	16
	6	4	62	85	39	21	25	32	53	7
	15	3	72	95	29	10	34	43	53	8
	25	2	73	96	19	0	45	52	63	9
	34	1	83	87	29	10	54	42	64	18
	45	11	93	88	38	20	55	31	74	17
	44	22	92	89	48	30	56	21	85	28
	33	32	82	98	58	40	47	10	86	27
	24	23	71	97	68	41	36	11	75	26
	13	12	61	96	78	50	36	22	65	15
	14	3	60	86	89	51	26	31	54	5
	4	2	70	75	88	62	15	41	44	6
