	15	48	30	97	2	91	19	1	0	88
	6	37	21	87	3	82	9	11	10	77
	7	27	22	76	4	71	8	12	20	67
	16	17	23	66	5	61	18	3	30	56
	26	28	13	55	6	50	29	4	31	46
	25	38	14	45	7	40	39	5	22	35
	24	49	15	34	8	30	29	6	12	36
	33	58	16	44	9	20	19	7	3	47
	32	57	27	43	18	30	29	8	4	48
	31	68	28	42	17	41	38	7	5	37
	21	69	27	51	16	50	39	6	14	36
	10	59	26	52	15	61	49	5	13	46
	0	58	25	63	14	71	48	4	23	56
	1	57	24	73	13	82	47	3	32	67
	2	68	33	84	12	72	56	4	42	77
	11	78	32	85	22	62	67	5	41	88
	21	79	23	86	31	52	77	6	30	89
	20	69	24	87	42	53	78	7	40	99
	10	59	34	96	51	54	68	8	50	98
	0	49	45	95	52	64	58	9	41	97
	1	38	54	94	43	73	48	19	30	96
	2	29	53	93	33	83	37	18	21	86
	3	28	52	92	23	82	27	17	10	75
	4	38	51	91	13	81	36	16	0	65
	5	39	50	90	3	70	35	15	1	54
	14	49	60	80	4	61	34	26	2	44
	25	59	50	81	13	71	33	35	3	43
	34	69	40	82	24	72	23	45	12	32
	44	79	30	83	14	63	22	54	11	31
	53	89	20	84	5	62	21	55	10	42
	63	98	30	85	6	51	31	65	0	41
	52	97	30	86	7	50	32	54	1	40
	42	87	21	86	8	60	43	45	2	41
	31	76	11	75	9	70	33	35	3	51
	22	66	1	65	19	81	24	26	4	61
	12	55	0	74	29	82	14	15	5	70
	2	46	10	64	18	83	13	6	4	80
	3	35	20	63	17	84	12	7	5	90
	13	25	30	62	28	74	23	16	6	91
	24	34	41	72	38	85	32	27	15	92
	33	45	51	73	39	95	43	37	25	83
	44	55	50	84	49	96	53	38	34	72
	54	66	60	85	48	86	64	29	45	62
	65	76	70	85	47	86	73	19	55	51
	74	87	80	85	36	86	72	9	56	50
	64	77	90	94	26	85	82	8	47	60
	53	67	91	93	15	84	92	7	36	61
	43	56	81	83	5	84	82	6	26	71
	32	47	70	73	14	74	72	16	15	62
	22	36	80	63	4	75	71	17	25	52
	11	27	70	53	3	66	61	18	35	51
	1	37	60	43	2	56	50	28	46	42
	0	48	70	32	12	57	40	38	45	31
	10	58	81	22	13	68	30	39	34	21
	1	59	90	12	4	77	20	29	24	11
	2	69	91	23	5	76	30	18	13	10
	3	78	92	33	6	86	41	8	4	20
	3	88	83	44	16	85	50	7	5	30
	4	87	72	54	26	84	61	17	6	41
	5	97	62	65	15	83	71	27	7	51
	14	98	63	75	25	82	71	26	17	52
	24	89	64	76	35	81	70	36	27	53
	33	79	54	87	46	80	60	47	37	44
	43	69	65	77	55	90	50	56	28	45
	42	58	74	67	66	91	51	57	38	34
	31	68	85	76	75	92	41	48	49	25
	22	77	84	86	65	93	40	47	38	24
	11	87	73	95	54	83	50	36	37	23
	1	76	72	94	44	82	61	26	27	32
	2	86	62	84	34	71	61	15	16	42
	3	75	52	85	25	70	51	5	6	42
	4	65	63	74	15	81	50	14	7	43
	13	64	53	73	26	80	60	24	8	44
	12	54	52	83	35	90	70	23	9	33
	22	55	51	84	46	91	81	32	19	34
	21	66	50	85	56	82	71	31	29	35
	10	76	60	86	57	92	72	30	39	46
	0	87	70	86	47	93	63	21	38	55
	1	88	81	96	36	94	53	10	28	54
	2	78	80	97	26	95	52	0	17	53
	3	89	90	88	15	96	51	1	16	52
	4	99	91	98	5	87	50	2	6	62
	14	89	82	97	15	86	41	3	7	61
	25	79	72	87	26	85	51	4	8	50
	34	78	62	77	27	84	61	5	18	40
	45	69	71	67	37	83	60	6	9	30
	44	58	70	57	48	82	50	7	19	20
	43	49	60	68	47	72	40	8	29	10
	33	59	50	77	36	63	30	9	28	0
	24	69	40	76	26	53	41	18	27	1
	13	68	50	87	15	43	51	17	16	11
	3	77	61	86	5	32	62	7	6	22
	4	87	71	75	14	31	72	8	15	32
	13	76	82	65	25	42	72	9	26	32
	12	75	83	54	35	51	73	19	36	42
	22	65	84	44	46	62	64	29	37	52
	31	66	74	33	55	71	63	39	38	53
	30	56	64	34	54	82	72	49	48	44
	21	67	63	24	45	92	73	38	47	43
	11	77	52	13	35	93	83	28	36	32
	1	87	51	24	26	94	84	27	36	23
	2	86	50	34	15	95	85	16	26	33
	3	96	60	45	5	94	75	6	15	43
	4	97	70	55	14	93	76	7	25	42
	13	88	80	66	24	92	86	17	34	51
	23	78	81	76	33	82	85	18	44	50
	32	79	90	87	43	91	84	8	53	60
	42	89	81	88	52	92	83	9	63	70
	51	99	71	98	62	93	72	19	73	61
	42	89	82	97	52	94	63	18	64	50
	31	78	91	96	43	95	53	17	54	40
	22	68	90	87	33	86	44	16	45	41
	12	57	80	77	24	85	34	15	35	31
	2	67	70	68	14	84	25	5	26	22
	3	56	60	58	4	83	34	6	15	12
	13	47	50	48	5	82	44	7	16	11
	23	36	51	37	6	71	53	8	27	21
	32	46	41	38	7	61	63	9	28	30
	42	55	40	49	8	50	72	19	29	20
	51	66	30	58	9	60	82	18	39	10
	52	76	20	68	8	70	91	17	38	0
	43	87	10	77	7	81	90	16	37	1
	33	88	11	78	6	80	91	15	36	2
	24	98	22	69	5	70	92	15	26	12
	14	99	32	59	4	71	93	25	35	23
	13	89	42	49	3	62	94	34	46	32
	12	79	51	39	2	72	84	45	55	42
	11	69	62	29	1	82	83	54	65	52
	10	68	72	38	0	81	73	64	66	63
	20	77	71	48	1	90	74	53	75	62
	10	87	61	57	2	80	85	44	65	51
