	13	6	86	3	73	75	1	54	30	43
	4	5	85	2	63	74	10	44	20	32
	14	15	84	1	52	73	11	33	21	22
	24	25	83	0	42	63	12	23	31	32
	34	26	72	10	41	52	3	13	30	43
	35	27	62	21	50	51	4	14	40	53
	26	17	61	22	60	42	5	15	30	64
	27	8	70	23	50	31	6	16	20	65
	17	9	71	24	41	21	7	26	10	55
	8	18	81	14	31	11	6	36	0	45
	9	19	80	5	21	2	15	37	1	35
	18	29	90	4	10	3	25	28	11	26
	17	38	91	13	20	12	34	27	22	36
	16	37	92	23	30	2	44	28	32	46
	15	47	93	33	40	1	54	29	43	56
	25	48	94	44	50	0	53	39	42	57
	24	49	95	45	51	10	63	38	41	58
	33	59	96	46	52	20	73	28	31	57
	43	69	87	36	53	30	64	18	21	56
	44	68	77	37	54	40	74	8	11	55
	45	67	76	28	53	50	75	7	12	55
	35	56	86	18	52	60	66	16	3	65
	26	46	85	8	42	70	75	6	4	64
	25	35	84	17	31	71	65	5	14	63
	34	36	83	16	30	81	54	15	13	72
	24	27	82	7	21	70	44	26	23	62
	33	28	71	8	10	61	34	25	22	51
	32	29	62	17	0	50	45	26	31	42
	43	19	51	27	1	41	55	26	30	52
	53	9	61	28	2	40	56	27	20	63
	64	18	60	37	3	50	47	36	10	52
	73	28	70	48	12	41	57	46	1	42
	63	27	80	38	11	30	58	35	2	43
	52	26	90	29	21	20	49	25	3	44
	42	15	91	28	22	10	38	14	4	45
	31	6	92	27	23	0	37	5	13	55
	21	16	93	26	24	1	36	4	12	56
	22	7	94	35	34	11	47	13	2	57
	23	8	95	45	44	10	46	24	3	68
	33	17	96	54	43	20	55	25	12	69
	32	27	87	64	42	30	66	26	22	59
	31	28	76	74	41	40	67	27	21	58
	30	18	77	73	51	50	56	36	21	48
	20	19	68	84	62	61	46	47	10	48
	21	9	69	85	72	70	45	37	0	49
	22	8	59	75	83	80	34	38	1	48
	23	7	58	66	82	81	25	39	2	47
	24	6	48	55	71	70	14	29	11	46
	13	15	49	45	61	60	5	19	12	46
	4	16	39	34	51	50	6	18	22	35
	5	17	29	33	41	40	7	28	31	25
	15	27	38	32	30	40	8	37	31	14
	6	26	48	43	20	50	18	36	42	24
	16	25	57	53	10	61	28	35	52	33
	7	34	67	63	0	62	27	45	51	44
	8	24	66	64	1	72	26	54	41	53
	9	23	55	65	2	73	25	45	30	43
	18	32	56	74	3	64	35	46	20	42
	17	22	47	84	12	63	36	45	10	51
	27	21	37	93	11	52	26	34	0	41
	28	22	38	92	10	42	15	24	1	30
	29	23	39	83	20	41	5	25	2	21
	19	24	49	72	30	41	4	26	3	31
	9	25	59	63	40	50	14	27	12	32
	8	34	69	52	30	60	13	28	22	33
	7	44	68	42	21	70	12	29	31	34
	6	45	77	43	11	80	22	39	32	34
	15	54	76	44	1	81	23	49	33	35
	25	53	67	45	0	71	24	58	43	46
	35	64	57	55	10	61	14	59	52	56
	46	65	48	66	20	51	5	69	62	47
	36	54	58	75	30	41	4	59	72	37
	26	45	68	85	40	50	3	49	62	27
	16	34	57	86	30	60	2	38	51	17
	7	25	47	87	31	70	1	28	41	18
	6	26	36	76	21	80	11	29	42	19
	15	16	37	66	22	90	12	39	32	18
	5	27	38	55	23	91	13	49	33	17
	4	37	48	45	24	82	14	58	34	8
	3	28	57	35	25	72	15	69	44	7
	2	29	67	46	26	62	6	78	53	16
	12	39	77	56	25	51	5	79	43	27
	23	38	78	67	34	41	4	69	42	37
	24	28	68	77	33	30	3	59	31	47
	13	18	58	88	32	20	2	49	21	56
	4	9	48	87	31	10	1	38	11	67
	5	8	37	76	30	0	2	28	22	66
	6	17	38	76	20	1	12	29	32	55
	15	16	39	66	10	2	23	19	33	45
	25	26	49	55	0	12	24	9	34	44
	14	36	59	45	1	22	13	8	35	54
	4	46	69	55	11	31	3	7	34	64
	5	47	79	65	21	30	2	6	33	63
	15	48	89	64	20	40	1	16	32	73
	25	49	88	74	10	50	0	27	31	83
	35	59	78	75	11	60	1	28	30	84
	36	58	68	85	12	61	2	18	40	74
	47	57	58	75	23	70	3	29	50	65
	56	67	48	66	32	80	13	39	60	54
	46	77	37	55	43	70	24	49	61	45
	35	87	38	65	42	71	25	59	62	44
	26	76	39	64	41	72	34	69	52	53
	27	66	29	63	30	62	33	58	51	43
	28	55	18	52	40	62	23	48	41	42
	17	45	19	53	50	51	22	37	31	32
	8	34	9	54	60	61	21	28	30	33
	7	25	18	45	70	71	20	17	40	24
	6	26	29	46	81	82	10	16	50	14
	15	36	39	47	90	91	11	27	60	4
	25	35	49	57	80	82	12	28	70	5
	14	45	59	68	81	72	13	38	61	6
	4	44	69	78	71	62	3	39	51	16
	5	43	79	89	61	62	2	49	41	26
	6	42	78	88	50	51	1	59	30	35
	7	41	77	87	40	51	0	69	20	45
	8	30	67	76	40	41	10	79	21	54
	17	31	56	66	50	42	11	69	22	65
	16	21	46	75	60	52	12	58	23	74
	26	22	35	85	70	63	13	48	32	73
	25	23	36	84	80	64	24	37	33	83
	34	12	36	93	90	53	14	28	44	92
	45	3	37	83	91	43	15	18	54	82
	55	4	38	72	81	42	5	19	65	71
	56	13	39	62	70	41	6	9	64	61
	47	24	29	51	60	30	7	8	63	50
