	13	12	48	22	49	20	90	82	61	96
	3	2	47	21	39	30	80	71	50	86
	4	1	36	31	29	40	70	61	41	75
	5	0	26	32	18	50	60	51	42	65
	6	10	15	33	8	41	61	52	43	54
	7	20	16	34	9	42	51	53	44	45
	8	21	17	25	19	32	52	54	33	35
	9	30	18	14	29	23	43	45	24	26
	19	31	28	4	38	12	33	35	13	15
	29	32	27	3	37	2	34	25	14	5
	28	33	36	4	47	1	24	15	13	6
	27	23	35	5	46	0	34	16	12	7
	37	22	45	6	55	10	44	17	11	8
	47	21	54	7	56	20	53	18	2	9
	57	30	64	8	66	10	63	19	3	18
	58	40	73	17	67	1	72	29	4	28
	59	50	74	27	57	2	83	39	5	38
	69	60	84	37	58	3	93	49	6	48
	68	70	85	47	57	4	94	38	7	58
	77	81	95	36	56	5	93	28	8	59
	78	91	96	26	55	6	92	18	9	69
	79	90	87	25	65	7	82	19	8	68
	89	80	76	14	64	16	71	29	17	67
	88	70	75	4	63	26	62	39	27	56
	87	71	65	3	52	25	61	49	36	46
	76	72	55	12	42	14	51	59	35	45
	75	73	54	11	41	24	50	58	25	34
	65	74	44	1	31	33	40	68	15	45
	54	84	43	0	32	23	30	77	5	46
	44	83	53	10	22	13	31	76	4	47
	34	93	64	20	12	3	21	75	14	48
	35	94	63	30	11	2	22	65	25	49
	26	95	62	41	1	12	32	54	24	39
	16	96	72	51	0	23	42	44	33	29
	6	97	83	62	10	32	52	45	43	19
	7	98	84	72	20	42	63	46	53	18
	8	99	85	83	30	52	64	47	54	28
	9	89	86	84	41	63	73	37	55	38
	19	78	95	85	51	62	74	27	66	48
	29	68	94	75	61	71	65	16	67	57
	28	69	93	66	60	81	55	6	56	58
	37	79	92	76	70	91	45	7	47	59
	27	89	82	87	81	90	34	8	36	49
	17	88	72	77	80	91	25	9	35	39
	16	97	83	78	70	92	15	19	26	29
	6	96	73	68	61	93	5	18	36	28
	7	86	74	57	50	84	4	17	46	37
	8	85	75	47	40	94	13	27	55	36
	9	95	65	46	30	93	3	26	54	35
	19	96	64	55	31	83	2	25	44	45
	29	87	53	54	21	82	1	14	33	34
	38	76	44	65	11	71	0	4	24	25
	37	67	33	66	2	62	10	3	13	14
	47	56	24	55	12	52	11	4	23	15
	48	57	34	46	22	43	21	5	32	16
	58	68	35	36	31	42	20	15	33	6
	69	77	26	27	41	51	30	25	34	7
	59	88	16	28	50	61	40	14	45	8
	49	98	17	18	60	70	30	4	55	9
	39	99	7	19	61	81	21	3	54	8
	29	89	6	9	71	90	10	2	64	18
	19	79	5	8	81	80	1	11	63	28
	9	69	4	17	91	70	0	12	72	37
	8	59	3	27	92	60	10	13	73	47
	17	49	2	37	93	50	20	23	74	56
	27	39	1	47	84	51	30	24	75	67
	37	29	0	56	73	62	31	33	86	77
	47	18	10	55	74	63	22	44	85	78
	56	8	20	45	65	73	12	53	94	79
	66	7	30	54	55	74	13	63	95	89
	76	6	31	53	46	65	4	64	96	88
	77	5	22	52	35	75	14	73	87	97
	78	15	23	62	36	76	24	83	86	98
	79	16	32	72	26	67	33	82	85	99
	89	17	43	71	25	57	44	81	84	98
	88	28	52	61	24	48	45	90	83	97
	77	38	53	70	23	58	35	80	72	96
	68	48	54	60	32	69	25	81	82	86
	78	57	45	50	33	59	15	91	92	75
	79	67	34	40	43	49	16	90	93	74
	89	68	25	30	42	39	17	80	94	64
	99	77	15	20	41	29	27	70	95	53
	98	78	16	10	40	19	28	60	96	43
	97	69	17	0	50	18	37	61	87	32
	88	59	28	1	51	9	36	62	76	22
	77	49	37	2	52	8	46	63	66	11
	76	39	27	3	53	7	47	64	55	12
